Name,WikiTitle,WikiPageId
Ross Hall,Q19300811,45349636
Reubin Askew,Q887146,770595
Joe Barry,Q6208495,9161850
Olivier Gendebien,Q172142,342234
Guillaume Canet,Q314403,2121625
Wayne Garland,Q7976250,6644039
Jasmine Jones,Q3625586,20724159
Alessio Boni,Q944553,25160752
Cicely Berry,Q5119349,13529855
Olivier Patience,Q2447911,6860430
Baby Dee,Q529619,13404000
Frank Costello,Q450529,154310
John Rupp,Q1411828,1453327
Johns Hopkins Medicine,Q858729,1991054
Wendy Weinberg,Q7982820,25519223
Lorraine Bracco,Q229319,524384
Stanley Park,Q1126258,292741
Vroom Vroom,Q7943165,6719607
Henry Van Hoevenberg,Q5729461,37741621
Kengo Kuma,Q725462,7998516
Mark Mercer,Q6768860,32191888
Jae Kuk Ryu,Q483355,5211063
Julie Brill,Q6308056,27104240
Jim France,Q16106626,11977382
Jed Perl,Q16730238,42533443
Earl Monroe,Q540498,346350
Ninette De Valois,Q234436,192464
Roy Brooks,Q356908,16239001
Robert K. Steel,Q7346235,13442077
Mark Aguirre,Q714640,2281226
David Barger,Q5231122,29130098
J. J. Goldberg,Q6104141,15901664
Eric Dinallo,Q5387316,12166925
Mel Allen,Q3178690,524258
Ralph Stein,Q7288118,34161083
Sara Moulton,Q7421716,668689
Bing Devine,Q4914127,2520254
Francois Berleand,Q576085,7259821
Roy Peter Clark,Q7373255,31671973
Dave Woods,Q5230150,12867931
Karen Johnston,Q435481,358103
Gary Dourdan,Q355038,665612
Rob Schremp,Q1390207,3900689
Colm Feore,Q449679,663991
Greg Mattison,Q5605975,7097268
Nick Rimando,Q1356730,1163683
Gottlieb Daimler,Q57098,185490
Sean Fine,Q7440991,16125552
George Bass,Q734298,318185
Martin Olson,Q1904681,6103150
Emma Tahmizian,Q433159,19787142
Sauerbruch Hutton,Q205787,21457125
Ruth Rendell,Q232260,312241
Elizabeth Lowell,Q4766560,4617838
Immy Humes,Q1660203,35366104
David Berreby,Q5231369,21292957
Irina Lazareanu,Q271456,5755980
Rajai Davis,Q3417960,6506677
Yves Simoneau,Q1381419,9370886
Ron Chernow,Q24302,2240593
David Golinkin,Q5234206,1627643
Jeffrey Sanzel,Q6176264,16385158
Carol Baldwin,Q6567932,21383107
Phyllis Somerville,Q439105,10426158
Jesse Draper,Q2444572,9418226
Heinrich Von Kleist,Q28494,216556
Michael Campbell,Q543007,2141373
Greil Marcus,Q321153,436149
Gene D. Cohen,Q5531152,25059833
Daniel Levitin,Q1981608,2749117
Sam Byrd,Q7409715,6790957
William J. Lindsay,Q8013273,25005557
Fernando Pisani,Q1399213,2437920
Jane Feather,Q3161860,4047238
Byambasuren Davaa,Q467764,4435984
Gary Orfield,Q5525695,6598326
Lili Marleen,Q154968,242042
Sam Burley,Q7407276,6885365
Jacques Anquetil,Q221001,351192
Mamdouh Habib,Q3580435,1225061
James Boswell,Q335060,62363
Paula Vogel,Q433987,567875
Rufino Tamayo,Q690790,556242
Saartjie Baartman,Q232041,317575
Christopher Gray,Q5112424,26426716
Leslie Feist,Q229735,1539839
Billy Joe,Q16275040,3109070
Cameron Stracher,Q5026390,17358001
Matt Belisle,Q943493,6767172
Yeardley Smith,Q228891,34351
George Perle,Q201359,623861
Romeo Travis,Q2165112,30839971
John Oates,Q326383,953235
Michael G. Oxley,Q778922,766827
Norm Chow,Q7051449,2730790
Gerome Ragni,Q329904,723063
Reuben Nakian,Q7317496,5120026
Thomas Day,Q722973,938259
Pauline Viardot,Q122998,154676
John J. Myers,Q1638264,2478019
Otis Nixon,Q3357658,1135016
Jade Simmons,Q6121361,27909145
Arnold Bennett,Q314158,56881
Travis Barker,Q220140,994552
John Campo,Q6251523,10144291
Khaled Abol Naga,Q6399296,7395745
Thomas Lawrence,Q312096,73519
Maurice Jarre,Q105487,370885
Bruce Almighty,Q207816,237303
Ronnie Earle,Q7365859,1831642
Lois Lane,Q845922,18564
Linder Sterling,Q867737,4221193
Robert D. Reischauer,Q7349232,27636508
Jason Witten,Q675716,1266254
Nicolle Wallace,Q7030302,4788530
Minoru Miki,Q1422441,2647309
Scott Bomar,Q7436014,30468912
Fernando Ferrer,Q5444710,713393
Gabriel Range,Q3093926,7145537
Jack Beatty,Q6111218,25226446
Charles Martin Smith,Q730100,1366258
Richard Selzer,Q7328964,3104607
Charlie Wi,Q2416865,4145045
Julie Roginsky,Q16214594,39676118
Grantland Rice,Q458458,732910
Mickey D. Barnett,Q6838607,9570214
Lisa Alther,Q273911,2866364
Kyle Lohse,Q2356080,1707257
Albert Haynesworth,Q2831237,4723402
Mark Derosa,Q3294049,1085405
Seth Godin,Q439396,1687944
Louis J. Freeh,Q1110029,21810686
Michael Farmer,Q17917450,43539744
Tom Gunning,Q7816034,22905273
Matt Burns,Q5000047,38030707
Jagdish Bhagwati,Q559903,761292
Cissy Houston,Q465702,926691
Matt Serra,Q968201,4058397
Stanley Tretick,Q7600002,37329952
Jerry Douglas,Q705743,4097322
Kevin Mawae,Q3195751,1278405
Doug Vogt,Q5300978,3887654
Jean Smart,Q239069,939763
Alex Hutchinson,Q4717212,13443916
John Rocker,Q4283152,657205
Oliver Cromwell,Q44279,22413
Brigido Lara,Q4967868,875044
Azadeh Moaveni,Q3631408,1999054
Anthony Charles Lynton Blair,Q9545,3301347
Javed Ahmed,Q6165284,20126945
H. Stern,Q2660388,35190500
Bruce Hoffman,Q3392212,22231212
Richard Childress Racing,Q1152098,2569903
James Siegel,Q380784,2207299
Joseph Horowitz,Q4144803,12321596
Mary Carillo,Q1783243,2303019
Orla Fitzgerald,Q7102987,5929221
Harry Bennett,Q15492179,4506666
Lothar Matthaus,Q36386,475445
Ralph Whitworth,Q7288258,23444178
Takashi Okazaki,Q6125527,21525277
Kenneth Pollack,Q4370309,714131
Harry Hamlin,Q567830,689499
Rascal Flatts,Q753598,1881236
Kendrick Jones,Q6389031,8243573
William Kaye,Q8013863,8565837
Gary G. Miller,Q781113,409658
Henry Purcell,Q9695,14135
Charles Cary Rumsey,Q5076133,26604454
Leo Minosa,Q1545826,1638112
Joe C. Meriweather,Q2332130,11368939
Jason Katz,Q6162663,697090
Fred Funk,Q715648,1646050
Celso Amorim,Q1053159,998063
Frank Zarb,Q5490549,14111725
Linton F. Brooks,Q6554897,10414330
Christopher Reeve,Q174311,73626
Thad Allen,Q345473,2635824
Lance Legree,Q6483451,9922069
Rachel Barkow,Q7279147,23454644
Johann Smith,Q261255,2322303
Larry Craig,Q371025,381732
Babatunde Olatunji,Q797599,210984
Eduardo Machado,Q5340672,10873560
Ed Diener,Q4858257,20423128
Lenox Robinson,Q6522877,987923
Brendan Haywood,Q908715,2440951
Reggie Harrell,Q14951077,5969237
Adrienne Barbeau,Q253561,350807
Mehdi Ben Barka,Q510292,30872057
De Laurentiis,Q1180097,25935095
Christ Jesus,Q302,1095706
John P. Walsh,Q6251727,12496112
Matthew Weiner,Q924283,4812309
Sinead Cusack,Q224782,1364371
Brad Wanchulak,Q4954341,14503201
Lauren German,Q261583,7687686
Eugene F. Fama,Q359317,301227
Joe Lee,Q6210889,19113004
Alburnus Maior,Q12148992,3192246
Frank Packer,Q5488864,676481
Toby Jones,Q342419,2298900
Ryan Boyle,Q7383896,5720865
Jamal Mayers,Q1387122,4711396
Michael Symon,Q6834741,13873432
Felicia Taylor,Q5441727,2087605
Avery Atkins,Q4828365,32629730
Julian Farino,Q15500352,3049032
Ludwig Bemelmans,Q76414,1060444
Natasha Richardson,Q212545,594667
Robert Morgenthau,Q521095,1170674
Sheila Hancock,Q645873,733661
Shayne Culpepper,Q4412112,874014
F. W. Murnau,Q55412,82417
Chris Weinke,Q2964889,1577119
Kraft Singles,Q3965203,1104286
Jeff Klein,Q6174257,19608821
Adam Leitman Bailey,Q4679390,32464406
Chetan Sharma,Q2756945,3229036
Colin Woodard,Q15053578,40482169
Jim Bowie,Q433657,282390
Charlotte Perkins Gilman,Q287752,105811
Al Wilson,Q372005,1439377
Paul E. Gillmor,Q570173,766847
Minnie Minoso,Q3315554,568237
Reynaldo Hahn,Q432938,787829
Joseph Kennedy,Q313696,291132
Matt Winston,Q325814,1156740
Scott Sturgis,Q2996422,1525274
Martin Tillman,Q3295653,46345963
Imogen Poots,Q237012,8474655
Pamela Lane,Q313841,167626
Katharine Gibbs,Q6376190,38561653
Pablo De Sarasate,Q204503,312466
Yannick Renier,Q2411736,24748294
Kjell Eriksson,Q713110,10028406
Lisa Harrow,Q1452394,4110487
David L. Katz,Q15429303,40752597
Tony Esposito,Q954322,1236588
E. F. Hutton,Q5321855,163037
Pierre Bourdieu,Q156268,109275
Chico Hamilton,Q495781,559163
Jeffrion L. Aubry,Q6176384,7069815
Maarty Leunen,Q3841888,9179899
Jon Huber,Q3183198,6805187
Alexandra Hai,Q4720653,11450399
Cliff Martinez,Q455964,1237166
William R. Brody,Q8017185,1630082
Tony Rudy,Q7823325,3937449
Joe Brainard,Q1691342,18349962
Kenneth M. Karas,Q6390402,21816913
Steve Bing,Q15521785,930809
Travis Buck,Q3538226,10411559
Albert Hammond Jr,Q597936,528416
Bobby Reynolds,Q512728,5568095
John Unitas,Q716029,15644
Missy Peregrym,Q236582,2357835
Billy Carter,Q4912331,274802
Adam Bernstein,Q3440795,8537731
Joe Swanberg,Q6212564,7152313
S. Parker Gilbert,Q17380364,43256656
Glen Velez,Q1383968,2597431
David Walliams,Q359665,649748
Rebecca Jenkins,Q15515399,1244341
David Warsh,Q5240852,7777358
Michael Umeh,Q364359,24022201
Olga Koumoundouros,Q16196113,41367352
Joe Antonacci,Q16149181,35232014
Horatio Alger Jr,Q453251,63205
Kenneth Whyte,Q6390825,2494923
Philip Langridge,Q1387233,5369972
Lisandro Alonso,Q2568123,24775153
Rob Kapilow,Q7346261,18780569
John Slattery,Q374346,6617452
David Weiner,Q5240922,30883815
Katherine Johnson,Q11740,25568315
P. J. Patterson,Q109130,240427
Molly Haskell,Q6896590,4636188
Konstantin Pushkarev,Q1782809,8026087
Paul Hornung,Q363509,423762
David Hazeltine,Q1174695,3894039
Dallas Braden,Q963269,10076365
Benjamin Pech,Q805232,782544
Joe Philbin,Q597672,9732854
Peter Altenberg,Q44972,23265
Oliver Hirschbiegel,Q60634,1703008
David Gilmore,Q325324,4388333
Michael Fletcher,Q6830334,5333256
Mark Hollmann,Q6768079,23108419
Dimitar Sasselov,Q5277447,28108397
Ishmael Reed,Q983544,314487
Steve Wozniak,Q483382,27848
Zhu Xueqin,Q8071159,3635467
Michael Baigent,Q1333364,3395206
Bobby Livingstone,Q4935293,37118333
Richard Seigler,Q7328962,2017199
Ken Bradshaw,Q3195017,1661600
Hartmut Ostrowski,Q105685,29206665
Joe Saunders,Q1134596,5001127
Maria Riccetto,Q17621927,19974168
Peter M,Q1034150,22559903
Toru Furuya,Q917318,779902
Kason Gabbard,Q6374618,6068760
Guy Molinari,Q59335,1780247
Kyle Falconer,Q6451144,10197295
Candido Camero,Q83693,2768975
Dustin Hermanson,Q3041684,2991148
Finn Juhl,Q1058936,17868384
Jennifer Black,Q6178129,18731178
Randall Woolf,Q14634732,23204334
Bobby Deol,Q48619,1041799
Andrew Peters,Q345889,3024442
David Halpert,Q5234661,32990362
John Bale,Q1234985,144952
Joey Graham,Q2720230,2166564
Arthur Hills,Q4799080,8091916
Barre Aadan Shire,Q808837,2894748
Wu Bangguo,Q360563,256780
Christopher Larsen,Q19864583,46549739
Nick Metropolis,Q92928,504326
Joan Blondell,Q242729,244831
Liz Callaway,Q3257305,7346672
Rose Gentle,Q7367734,6057079
Hiroyuki Ito,Q2587127,4530013
Bill Dickey,Q862064,597451
Ken Venturi,Q2271334,513919
Baron Munchausen,Q77066,165329
David Greenhill,Q5234371,11698110
Marcel Marceau,Q157191,176846
Ibrahim Hooper,Q5984575,1931393
Wendy Clark,Q6469955,4124461
Daniel Howes,Q5217534,27584770
Kevin Doyle,Q296603,3663142
David Brunner,Q5230956,7469231
Doug Moe,Q2328935,1450221
Andre Miller,Q493208,1285810
Bobby Bowden,Q888459,609598
Harold Perrineau,Q310551,1031357
David Adler,Q3017360,208445
Jake Delhomme,Q926574,445271
Foley Hoag,Q5464330,18779718
Rodrigo Santoro,Q294819,1756817
Julius Strong,Q955083,11578540
John T. Dorrance,Q6260676,727277
Mike Karakas,Q3313389,3118023
Frank Elegar,Q1380489,41187763
Franklin Medal,Q3141777,23747345
Brad Richardson,Q686075,4709199
James Fox,Q310012,338372
Anne Jackson,Q454394,6033959
Rudi M. Brewster,Q7376952,12664342
Matt Haryasz,Q3852005,40653227
Helmut Lachenmann,Q549442,221191
Harry B. Macklowe,Q15461857,8242921
James Cregg,Q6131923,25881806
Nicolas Bro,Q1797671,21998679
Rajendra Ramoon Maharaj,Q16731833,42453981
Martin Landau,Q294641,261053
Ryan Homes,Q6955706,3426300
William A. Niskanen,Q2003225,5033699
Brendan T. Byrne,Q888937,442280
Federica Pellegrini,Q234758,907340
Lyn St. James,Q2718254,2593012
Irving Burgie,Q1869869,18374449
Jonathan Marc Sherman,Q15492513,4389361
Julio Iglesias,Q122003,19554473
Sam Bush,Q539156,1600979
Mary Bono,Q459753,409691
Robert S. Wiesenthal,Q7349521,34914417
Shirley Jones,Q230218,170516
Andreas Hykade,Q85621,7923255
Michael Pachter,Q6833328,36064786
Brian Koppelman,Q3644473,27910653
Jerard Rabb,Q6180597,11424199
Jan Khan,Q6149247,19648686
Joseph Mondello,Q6285604,12331591
David Foy,Q10472994,23080337
Davia Nelson,Q7744770,28996585
Susan Lawrence,Q7648103,5138816
Kathleen Clark,Q16241087,39349930
Rollie Massimino,Q16095752,1642899
Bruce Crabbe,Q4977313,37986669
Andrew Bennett,Q4756329,414621
Dinah Shore,Q466502,445332
Klara Poelzl,Q158314,676576
Isaac Hamilton,Q19609947,45701004
Carl Denham,Q3658751,1496571
Roger M. Perlmutter,Q15428947,41229816
Miya Masaoka,Q531175,273449
Ilya Yashin,Q1658622,4213884
Otto Kahn,Q215006,419155
Caitlin Van Zandt,Q5017925,20214302
Willie Aikens,Q3569058,1637074
Shawn Ryan,Q151809,2408055
Veronica Lake,Q84232,336959
Matthew Morrison,Q294812,2383637
Christian Van Horn,Q5110235,37762026
Terrance Copper,Q7703260,3703407
James G. Robinson,Q2483321,16074875
Derek Jacobi,Q256164,168017
Neil Bernard,Q6984087,927162
Larry Quinn,Q6490988,11637044
Tommy Maddox,Q3531336,637374
Dan Bilefsky,Q5213156,20977188
Bill Hess,Q4909414,3967598
John Hollinger,Q6239623,1701940
Daniel Negreanu,Q317104,1023585
Richard Revesz,Q7328651,2898317
Michael Ovitz,Q653333,373874
Roger Waters,Q180861,173825
Kevin Saurette,Q1740245,38456648
Justin Blanchard,Q6317370,28586283
Kevin Barker,Q6395778,6805198
Stephane Udry,Q120389,10897379
Anne Washburn,Q4768877,38395758
Lauren Nelson,Q3827897,9199459
Joan Armatrading,Q263194,527425
Josh Mccown,Q2778384,1770143
Michael J. Nelson,Q674380,522306
Donnie Sadler,Q5296686,10209068
Klaus Barbie,Q77088,17335
La Toya Jackson,Q217427,152297
D. J. White,Q2620546,15689167
Wan J. Kim,Q7967001,7972252
John Denniston,Q1699803,3667473
Gina Lollobrigida,Q56009,292315
Les Adieux,Q146669,2698644
Said Hammami,Q2897000,14434089
William Nack,Q8016014,25743732
Ralph Mann,Q594695,7779595
Humberto Quintero,Q3143215,637415
Ben Carson,Q816459,1017695
Diana Degarmo,Q464246,467401
Mark Mendelblatt,Q6768859,32331759
Chris Berman,Q5105890,501287
Mark Popovic,Q692216,4764893
Peter Erskine,Q713202,267187
Elise Blackwell,Q5361646,1746057
Nora Lewin,Q7050120,2285512
Taryn Manning,Q237669,1282623
Katrina Szish,Q6377981,25647308
Tom Szaky,Q7817776,13902553
Leander Kahney,Q3228641,3840670
Steve Rucchin,Q569840,3307639
Howard Cohen,Q16204334,2176904
Tom Jurich,Q7816382,15888858
Stanislaw Dziwisz,Q354306,454662
Andy Nicholson,Q2737111,5516307
Warren Grove,Q3566385,45346605
Brock Spack,Q4972755,20873026
Ulrike Malmendier,Q105343,36642884
A. T. Stewart,Q4720268,928041
Clint Hurdle,Q2979333,2935720
Sam Katz,Q2905025,989460
David Ricardo,Q160270,8470
Omar Yussef,Q7089856,12035682
Gian Franco Kasper,Q116015,9894004
Marshall Manesh,Q552889,7247683
Machine Gun Kelly,Q72733,1580926
John Merritt,Q6248549,12787713
Djimon Hounsou,Q298682,468318
Chris Brubeck,Q5106012,3812023
Stanley Nelson,Q7599819,9964816
Victoria Falls,Q43278,192485
Lyubov Denisova,Q521107,11126377
David Lander,Q3018248,99859
Lewis M. Eisenberg,Q6536817,32404304
Omar Berdouni,Q7089655,7936944
Stu Bykofsky,Q7626140,10409076
Rupert Everett,Q208685,320736
Alison Mitchell,Q4727145,13340684
Henry Hubbard,Q433146,2841021
Gerry Mulligan,Q156535,307943
Camille Little,Q532629,10647341
Patton Oswalt,Q374065,1237220
Peggy Post,Q7160718,18446863
Peter Frampton,Q337089,172908
Steve Lucas,Q7613194,10379853
Janet Evans,Q49286,113251
Carter Burwell,Q374754,851903
Jon Deeble,Q6270615,10828441
Bubba Paris,Q13581702,9569994
Yael Averbuch,Q8046615,24534773
Von Rothbart,Q199786,277945
Jakob Fugger,Q65103,2299549
Donna Lynne Champlin,Q5296398,31129868
Jean Charles De Menezes,Q559142,19666814
Dera Ismail Khan,Q1249888,696749
Bates Gill,Q810766,18888573
Henry Geldzahler,Q1152592,5468696
Steve Doyle,Q7612423,11541489
Stewart Harcourt,Q18160393,43536818
Ryan Mallett,Q3546506,13293184
Drew Coleman,Q5307151,8139252
Brittany Smith,Q6787605,28272588
Len Wiseman,Q336099,891601
Hildegard Bechtler,Q16147961,39353930
Ken Sunshine,Q6388577,4623384
Elijah Craig,Q5360904,224878
Grana Padano,Q940319,2903280
Donald Faison,Q314819,715428
Jackie Wilson,Q181483,149144
Andrew Friedman,Q4757026,8430677
Josh Harding,Q942610,4324883
Simon Pryce,Q7519587,35847230
Jonathan Lash,Q6273640,14274519
Mable Lee,Q16088939,40929045
Rosamund Pike,Q230004,159370
Steven Lewis,Q774293,18264143
Robert Hutchings,Q7345734,16364241
Ari Marcopoulos,Q4790114,23401132
Raul Allegre,Q7296146,4188024
Tom Gorzelanny,Q741913,5765548
Robin Shepherd,Q7352780,20095463
Chiara Mastroianni,Q283317,2473646
Boubacar Boris Diop,Q894953,623268
Peter Luczak,Q358712,3792740
Amina Masood Janjua,Q18098305,43847629
Barbara Flynn,Q4858886,1878661
Jonathan Lemkin,Q3735383,4982274
Steve Mariucci,Q7613262,482867
Peter Kaplan,Q7175089,5763150
Edgardo Alfonzo,Q5337563,715342
Joseph Epstein,Q429722,1896978
Wood Mackenzie,Q8032236,34277287
Jeremy Giambi,Q6181376,1420975
Gina Green,Q5562870,12246168
Jose Van Dam,Q381927,1223888
Leonard Eron,Q3229669,11231623
Mark Barry,Q585404,2004061
Ebba Segerberg,Q5331522,2301612
Matt Blunt,Q881141,1133101
Robert Monks,Q7341229,14660505
C. B. Harding,Q5006295,5457760
Lisa E. Goldberg,Q2726960,1021540
Scott Paul,Q7437020,2498234
Samantha Stosur,Q191766,2441596
Barbara Jackson,Q4859011,1185924
James Curry,Q6132066,18531738
Cody Ross,Q1106567,3532344
Russell Long,Q1385418,224657
Harry Osborn,Q1779361,417310
Zhao Wei,Q197471,1816209
Vaclav Klaus,Q57434,303222
Reggie Torbor,Q7308320,7637629
Steven Sinofsky,Q2098467,9680324
Alwaleed Bin Talal,Q293679,642083
Elizabeth Dee,Q5362677,25768892
Robert E. Peary,Q186585,61004
Anthony Weiner,Q557810,963586
Aleksei Cherepanov,Q722737,8773841
Kitt Peak,Q1333532,376544
Lightning Rod,Q7973,20646679
Mary Elizabeth Winstead,Q207873,2324849
Gary Rosen,Q7368599,3166105
Andrei Markovits,Q502440,16623561
Glenn Howerton,Q981651,5965702
Robb Quinlan,Q7340794,2528871
Bob Shrum,Q4933980,1151554
Thomas Friedman,Q310950,176157
Van Der Linden,Q586966,35971891
Jeffrey E. Garten,Q6175998,3965988
Mike Fontenot,Q518727,5877733
Adel Yahya,Q4681591,11950619
James Connolly,Q213374,168309
Tiffany Hines,Q1189338,4968768
Paula Radcliffe,Q233672,228240
Randy Quaid,Q316647,325460
Andrew Brackman,Q2846570,11654194
Robert Grossman,Q7344981,8557417
Paul Kagame,Q1231345,393593
Antoin Rezko,Q2442797,7461670
Stephen Goldsmith,Q7609331,4739083
Roger Sherman Baldwin,Q884940,357052
Brandon Stokley,Q2923788,1278368
Mario Merola,Q695653,4455236
Dee Webb,Q5249962,22660414
Bruce Gilbert,Q4977553,4639866
Ricky Hatton,Q116516,1527394
Steamboat Willie,Q816038,18943962
Christopher Dickey,Q5112221,6257482
David B,Q724061,909392
Edward Witten,Q201513,54894
Sean Locklear,Q7441163,3849038
Niklas Grossman,Q632944,6305428
Kirke Mechem,Q6415644,3702238
Julie Foudy,Q437398,1439396
Paul Silas,Q2562208,1723182
Jeffrey T. Kuhner,Q6174294,9194253
Michael Eric Dyson,Q6830135,1884782
Paul Avery,Q3374955,9873498
Rangeen Dadfar Spanta,Q77348,4493300
Lee Stempniak,Q1342394,3967808
Ivan Denisovich,Q27321,395683
Piero Fornasetti,Q452062,3494539
Joe Iconis,Q6210465,17154514
Paul M. Joyal,Q7151656,9848099
Richard Zeckhauser,Q7330150,13873854
Pat Sajak,Q705419,825428
Jama Masjid,Q3160772,3569823
Karl Hobbs,Q6371906,4753031
Dan Byrd,Q443891,4741836
Michael Grossman,Q6830821,13935745
Robert P. Hanssen,Q381054,186073
Lena Olin,Q228862,341953
Robert Delaunay,Q33978,333376
Hjordis Eythorsdottir,Q18351940,44125269
Joyce Brothers,Q3187222,1009669
Carl Simon,Q5040812,10908312
Justin Broadrick,Q1387901,1545012
Matty Hull,Q4559130,9390792
Walter Mosley,Q188117,600774
Nathan Mabry,Q6969219,13248598
Fox Searchlight,Q953040,414415
Ted Raimi,Q447713,31416
Claude Rich,Q1097113,19743083
Steven Schick,Q7615243,7679730
Mike Matheny,Q3313434,1105869
Sabine Azema,Q106592,6241857
Chuck Wein,Q5115833,7677310
Rod Colbin,Q7356152,38032923
Yuri Nosenko,Q31515,9699894
Ward Connerly,Q7968990,713578
Pam Belluck,Q7128910,31919366
Santa Claus,Q315796,8720252
Richard M. Smith,Q7327571,20571238
Fernand Point,Q1396289,1100889
Marcel Khalife,Q1346218,1629842
Owen H. Johnson,Q16091228,3114178
Joseph Doria,Q16107280,1773141
Galerie Vivienne,Q1314020,35871589
Leroy Butler,Q3220135,1316643
Jessica Lee Rose,Q271769,6982829
Andrew N. Liveris,Q83636,10931032
Bryan Singer,Q220751,2573789
Harper Hall,Q5663381,16035002
Robin L. Raphel,Q7352736,5301093
Emily Prince,Q5372328,14009084
Arnold S. Relman,Q15463311,7257218
Todd Sauerbrun,Q7812612,1302243
Johnny Pesky,Q1320754,827711
Eric Schneider,Q5387458,33094520
Jan Egeland,Q968608,1340058
David Weisman,Q3018976,25950097
Jacques Verges,Q714194,38288
Dava Sobel,Q304592,8623
Evan Turner,Q440382,21987337
Diego Hartfield,Q1220458,5329679
Betty Sutton,Q436825,6260346
Marc Evans,Q1892607,849708
Shannon Bell,Q7488829,4022657
Manuel De Falla,Q193283,390801
Christine Schafer,Q534841,6769961
Scott Henderson,Q708879,1605331
Randall L. Stephenson,Q979750,7368014
William Nickerson,Q8014917,21827956
Mikhail Tyurin,Q362180,677048
Don Siegel,Q358322,38774
Tony Hernandez,Q11811842,2998912
Matt Chico,Q3299411,6730011
Hans Bethe,Q155794,185853
Mathis Der Maler,Q508290,1260052
Liza Dalby,Q2607536,440635
Omar Quintanilla,Q3351902,2404859
Randy Mcmichael,Q14950833,1242408
Napoleon Harris,Q3870245,1266556
Connor Robertson,Q5162046,10076701
Hamid Rahmanian,Q18348134,42601920
Andrew Norman,Q506607,12996760
Alexis Mabille,Q2834573,38473890
Lucy Orta,Q6698442,25089602
Alissa Quart,Q16204114,41340202
Johnny Mathis,Q449612,563030
Maggie Renzi,Q16150134,41224884
Holley Fain,Q11834220,34553233
Julius Ii,Q80516,24755
Chaim Weizmann,Q172183,189474
Marlee Matlin,Q213287,182870
Marcus Nispel,Q77399,887464
Ayananka Bose,Q4830919,12198265
Rob Tapert,Q1336149,3710361
Ernest P. Worrell,Q5393654,966778
Joe Roth,Q919992,414284
Ignacio Figueras,Q1657267,19010239
Josh Ranek,Q6289282,2154808
Alison Brady,Q17708740,43256647
Norman Thomas,Q162820,258776
Reihan Salam,Q7310120,18257743
Tommy Ramone,Q366900,990784
Dermot Crowley,Q5262794,26838291
Jim Keltner,Q453565,583156
Erika Nickrenz,Q5388999,2226038
Jay Blahnik,Q16247164,38642852
Abdi Abdirahman,Q308176,7984987
Patricia Marx,Q2057234,9131235
Julius Boros,Q961587,318523
Thomas Carney,Q2422922,12070690
Gerry Brown,Q5552661,18867556
Wendel Clark,Q1365126,629765
Hillel Kook,Q438286,4169851
Liam Aiken,Q212224,596087
Michael Restovich,Q6833822,6002518
Ruy Lopez,Q1290671,292933
Bill Finley,Q4908986,27566680
Matthew Higgs,Q6790670,13496135
Phil Gordon,Q1372396,2077939
Rafael Peralta,Q5784776,5340387
Jebel Marra,Q886772,680029
John F. Campbell,Q12885333,15936252
Kelly Clark,Q270331,3978176
David Aardsma,Q1208089,1936869
Josh Soares,Q1681489,30810180
Michael Mumford,Q6832960,36997544
David O. Stewart,Q5238175,34892066
Chris Tremie,Q5108304,7111818
Aby Warburg,Q60185,2101806
Stanley Korshak,null,40076877
Jamey Carroll,Q2746717,3154822
Jon Alpert,Q6270284,8806062
Alvan T. Fuller,Q441524,7720578
Peter G. Davis,Q7174126,38165516
Eugene Camara,Q1373451,9416797
Liliana Lovell,Q6547748,8356690
Michael Corrente,Q5612234,12800327
Russell L. Schweickart,Q363506,333608
Robert De Laurentiis,Q4932244,18389153
Lawrence Bossidy,Q6503868,1870710
Frits Zernike,Q188293,244666
Helge Schneider,Q76490,1440943
Johnny G,Q10858266,39063909
Eric Church,Q975911,4714852
Chucky Atkins,Q935693,2440831
Roger Rabbit,Q6604094,15339848
Howard Skempton,Q2261216,1775764
Ellis Hobbs,Q3051522,2722953
Rod Carew,Q1316950,347531
Melissa Gilbert,Q230929,417692
Jay P. Greene,Q6167005,29277974
Aquilino Lopez,Q491310,5619124
Jenny Offill,Q15522372,864453
Loren Horsley,Q1869988,11795934
Mike Bidlo,Q920555,12341495
Alan S. Blinder,Q2711499,1229508
Brendan Fraser,Q193555,386491
Jack Klugman,Q286738,588590
Paul Simms,Q16499842,3815615
Vivian Girls,Q3561554,18710512
Muammer Guler,Q6930701,3119353
Diane Ravitch,Q5271548,334171
Peter Bogdanovich,Q158250,43855
Andy Paley,Q4761126,1965056
John Bryson Chane,Q6223711,1886366
Tiffany Paulsen,Q7801242,5559093
William Speed,Q16847291,42576195
Makoto Aida,Q2596176,38117575
James Fossett,Q311786,186642
Richard Dyer,Q7325332,4662986
Simon Doonan,Q7518637,14467225
Henry Winkler,Q343983,406877
Isabel Bayrakdarian,Q93849,2987019
Jack Morris,Q2386218,374580
Kalup Linzy,Q6354621,6572130
Randy Pullen,Q7292382,30869372
Micha Lindenstrauss,Q2910102,5661866
Billy Bang,Q719058,2257159
Bill Bailey,Q944744,151579
Hal Willner,Q447509,1510542
Stephen Randolph,Q260169,10919387
Eric Barton,Q5386093,1431491
Olof Rudbeck,Q350198,92906
Richard Grant White,Q7326025,1319069
Ed Oakley,Q5335239,11566834
Sam Newsome,Q2216584,16303338
Andrea Dworkin,Q241398,22320587
Isaac Merritt Singer,Q312011,186623
Kevin Gorman,Q6396380,21812195
Luke Burbank,Q16206180,2051873
