Name,WikiTitle,WikiPageId
Mohammed Siad Barre,Q209828,242376
Bill Schmidt,Q862445,7661007
Laura Shay,Q6499424,35054545
Danny Trejo,Q223830,336822
Dan Boeckner,Q3013024,6120411
Bob Buchanan,Q4931968,15105480
Kevin Lowe,Q1740208,860127
Jason Graves,Q2245098,20560709
Doug Datish,Q5300404,11041516
Raymond J. Donovan,Q2134162,2414419
Elizabeth M,Q5363131,15679763
Linda Hart,Q6551632,7784072
Nancy Mitford,Q260026,125819
Michael N. Castle,Q645215,408016
Mike Cole,Q6846358,8268526
Geoffrey Zakarian,Q5534985,28290654
Kendry Morales,Q1185217,2066719
Deborah E. Lipstadt,Q254798,410210
Lendale White,Q388613,3205725
Linda Evangelista,Q192171,276353
Bruce Barth,Q991483,19622585
Thomas Beller,Q7787556,6229718
Charles Tillman,Q325003,3551746
Theodore Roethke,Q1151763,157763
Liz Mohn,Q108859,27571381
Benjamin Graham,Q290560,353206
Jerry Mahlman,Q6183413,6843063
Juan Williams,Q6301159,2310173
James Michael Curley,Q441832,447630
John Grahame,Q1385700,455109
Patrick Reilly,Q4392618,21357027
Murray Grand,Q6939254,15298531
Jason Collier,Q1683887,2447581
Mos Def,Q38875,142540
George Dow,Q5538613,12293549
Daniel Breaker,Q5216650,26580885
Richard Norton Smith,Q3431069,8585275
Veera Musikapong,Q6631654,34431200
Gregory Shahade,Q5606238,10848602
Alec Young,Q4714290,15351670
Munir Malik,Q6936663,3976083
William C. Thompson,Q8006411,23801522
Edward Lazear,Q448413,4109177
Leonid Sarafanov,Q3229785,43773752
William I. Koch,Q4909771,4728788
Ken Goodman,Q6387687,3341677
Barnett Slepian,Q570981,1097134
Todd Phillips,Q362824,2145750
Carolyn Quinn,Q5045445,5051833
Sig Gissler,Q7511876,2693651
Madhya Pradesh,Q1188,47945
Shannon Woodward,Q1059427,10159232
Tetsuya Wakuda,Q7706963,4820808
John Seigenthaler,Q714162,26621126
Steve Stockman,Q1605321,945590
Nancy L. Johnson,Q519074,410193
Babar Ahmad,Q4837509,13120686
Tanya Huff,Q447025,844218
Alison Saar,Q4727179,6159557
Raheem Brock,Q4871108,4709574
Marc Mellits,Q15492797,4300279
Edward Durell Stone,Q3048508,53607
Vittorio De Sica,Q53004,32428
Adam Mazer,Q4679457,24346541
Ernest Jr,Q5393872,5484284
Richard E. Grant,Q380856,307164
Noel Fisher,Q3342656,36613026
Anthony Laciura,Q4772910,26702214
Sandra Bloodworth,Q7416548,23507886
Louis V. Gerstner,Q1363852,647805
Denise Richards,Q206833,37275
Jacob Levy,Q7063104,38287783
Roland Petit,Q367396,2483320
Maggie Siu,Q1372732,2185263
Andrea Schwartz,Q3616042,5930804
Anthony Goicolea,Q573297,488777
Michael Merzenich,Q6832811,7504518
Gerry Spence,Q5553035,1738246
Daniel J. Solove,Q5217647,12291997
Tommie Harris,Q4993261,1292566
Kent Henricksen,Q6391764,31334308
Al Reyes,Q4704708,4287074
Jeffrey W. Greenberg,Q6176333,906328
Anita Ekberg,Q230662,904640
Helen Frank,Q19879892,46384527
Joe Borchard,Q6208717,3900288
Abdel Bari Atwan,Q2820956,3081125
Ron Mahay,Q3441436,6794403
Dwight Yoakam,Q713099,169976
Gary J. Aguirre,Q5525297,30969724
Karey Kirkpatrick,Q1626388,1488581
Vic Raschi,Q7924881,436411
Margaret Johnson,Q6759565,16027419
Chris Dingman,Q975288,3164042
Andre Wadsworth,Q4754901,8505827
Marwan Hamadeh,Q743555,3423749
Alex Kuznetsov,Q383985,8980036
Paul Tishman,Q737687,8492473
Ron Santo,Q934446,292698
John Schermer,Q18385487,44125270
Gavin Polone,Q5528242,34907964
Randall Balmer,Q630122,8526515
Maurice Druon,Q223949,443089
Philippe Herreweghe,Q168039,4093570
Charles Guignon,Q16106643,41609475
Tim Horner,Q7803671,2012705
Vernon Loeb,Q7922178,37602597
Jo Harvey Allen,Q6204270,16918609
Gerhard Schick,Q104706,24537187
Danielle Thompson,Q374760,9657783
Katsuhito Ishii,Q1646217,9184488
Jessica Lopez,Q6187334,18709245
William Steig,Q552255,335516
Karl Shapiro,Q2906282,472270
Willie Mosconi,Q743625,435965
Claudette Colbert,Q203819,61350
Bill Carrick,Q4908423,17612657
Muriel Rukeyser,Q735177,536199
Ken Starr,Q708241,61909
Mark Loughridge,Q6768640,6492539
Avery Fisher Grant,Q17112784,42927184
Ruth Ellis,Q467755,1846149
Heather Poe,Q442226,866220
Lyman Wynne,Q1878728,18586537
Jerry Della Femina,Q6183474,8038353
Kara Mann,Q6367527,5113635
Rick Comley,Q7331305,4447811
Lee Morgan,Q362564,241542
Bjorn Melin,Q879707,4613215
Ramachandra Guha,Q3521662,5911869
Eric Friedman,Q5386530,24109856
Rene Pape,Q63259,5312647
Stephen Curtis,Q7608982,19099001
Arbeit Macht Frei,Q157199,2906
Gu Wenda,Q2071024,11017063
Dave Stryker,Q114003,12009266
Wolfgang Muthspiel,Q138651,12669439
Justin Roberts,Q548317,5588771
Rolling Stone,Q33511,25441
Chester Bowles,Q880817,220747
Anthony D. Marshall,Q4772424,6124794
Manon Gropius,Q85259,34838010
Lewis Alsamari,Q7424293,5050651
Luther Vandross,Q311306,249167
Rae Armantrout,Q7281906,396136
Steve Tompkins,Q4817410,4894574
J. Robert Bradley,Q15458294,11050219
Bryan Caplan,Q943121,215740
Robert Hammond,Q7345223,34990691
Duncan Hines,Q3041237,1587766
Stephen E. Ambrose,Q443953,65984
Samuel Gilbert,Q16230672,41666043
Judy Jacobs,Q19895469,46338077
Lindsay Sloane,Q469914,3001099
Morris Almond,Q1364234,9920377
Chaka Kahn,Q229498,346473
Julie Gold,Q4950345,2190272
Keith Bulluck,Q6384141,1269259
Peter Schoomaker,Q1362004,624695
Scott Simon,Q7437257,1857406
Emile Hirsch,Q244678,1676102
Rosa Rodriguez,Q2590369,5988894
Tony Taccone,Q7823521,18595357
Nell Freudenberger,Q6990009,7073715
Junior Reid,Q555694,7256531
Jack Cotton,Q15459423,10031017
Johnny Sauter,Q3182972,2147371
Dick Gephardt,Q1209677,165912
Willie Eyre,Q3569071,5494606
Colin Cowie,Q5145012,2473847
Mike Males,Q6845822,307791
Okada Beisanjin,Q3350000,5788111
Samantha Findlay,Q16211283,39906406
James Sims,Q6143219,10306561
Charlie Burnham,Q15430150,39726743
Fred Reid,Q5496133,21330337
Laura Kaminsky,Q6499071,30152084
Emanuel Steward,Q979639,145114
Timothy Potts,Q7807462,28384125
Jim Bowden,Q6193759,4801698
T. Rex,Q14332,30467
Joe Rooney,Q6212067,9375519
Freddie Redd,Q1452610,730104
Ruth Wedgwood,Q3182474,6692452
Amy Cutler,Q16214801,39352607
Demetrius Jones,Q5255300,9273200
Jomo Gbomo,Q177205,18486406
Kristen Schaal,Q272927,7297505
Emma Darwin,Q242147,635530
Gary Beach,Q3758469,1197883
Veronis Suhler Stevenson,Q7922533,18926012
Tom Shadyac,Q722135,1352088
Scott J. Bloch,Q7436004,10883529
Philip Anschutz,Q1133456,483648
Leslie Burke,Q13361634,21769305
Carlisle Floyd,Q1041799,316086
Xu Beihong,Q714152,975516
Surabaya Johnny,Q1584256,5950666
Deborah Scranton,Q5248376,14656105
Alexei Perry,Q4721283,23607480
Patty Larkin,Q7148715,2366183
Jake Voskuhl,Q2274270,2365930
Joey Gathright,Q1057276,2210964
Julia Ormond,Q229059,1422819
Markos Moulitsas Zuniga,Q1259349,972823
Ron Powlus,Q7364278,3355528
Richard Kadison,Q2149922,25798650
Hanns Eisler,Q78704,262438
Eddie Farrell,Q5287044,13386321
David Neumann,Q5237979,2881472
Willard Dyson,Q16209831,2329799
Tony Lee,Q7822776,3002535
Dean Stockwell,Q345212,596911
Giacomo Balla,Q368254,345893
Adolph Rupp,Q365505,1326893
Aline Kominsky Crumb,Q613260,1048026
Theresa Schwegel,Q7782893,14646198
W. Mark Felt,Q348122,1967935
Pernod Ricard,Q837049,674093
Molly Newman,Q6896647,7726432
Arnold M. Zack,Q4795161,21764796
Henryk M. Broder,Q66264,5639059
Wallace K. Harrison,Q3565469,53416
Brett Hull,Q440363,434907
Jeff Kosseff,Q6174278,27722518
Doc Gibbs,Q5758285,2806899
Robert D. Richardson,Q7343337,25556328
Affion Crockett,Q4688986,27850612
Karel Schwarzenberg,Q58195,9036068
Roy Arden,Q3445738,2874689
Hannah Montana,Q126631,3744098
Nazila Fathi,Q19877845,45351695
Sienna Guillory,Q236010,172340
Ruth Charney,Q18719167,44613219
Dominique Eade,Q185191,8868175
Scott Richardson,Q7437136,10863990
Bill Tilden,Q54684,772670
Ronald Isley,Q7364963,1431180
Charles Thomson,Q1066244,223202
Christopher Smart,Q2617795,604073
J. P. Ricciardi,Q6106711,524362
Bobby Seay,Q2747901,1968553
Duane Morris,Q5310368,13531240
Morton H. Halperin,Q6914873,926247
Judith Resnik,Q49284,316815
Ilia Smirin,Q535460,7512215
Noah Webster,Q241676,21620
Tatiana Golovin,Q233256,1577734
Fast Eddie,Q557465,2179802
John Frizzell,Q16243972,10409254
Scotty Campbell,Q7438218,31770758
Joe Franklin,Q6209910,2190182
Sergio Cabral,Q1860610,8737843
Regina Coeli,Q756768,1687041
William D. Adams,Q8007995,25319104
Duane Alexander,Q5310291,11750606
Penn Jillette,Q4129653,348378
Carl Hubbell,Q2938945,615147
Jesse Sykes,Q6186892,5182068
Alexander Downer,Q1239291,331078
Kelly Kaduce,Q6386113,28495987
Larry Forgione,Q16975776,42401638
Ben Kozlowski,Q4886023,5382223
R. Glenn Hubbard,Q940771,2567427
Hank Egan,Q3126794,7969007
Allison Pearson,Q4732812,3262582
